property_id,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,target
1,-1.009141661,-0.505084222,-0.976866194,-1.725473868,-1.029756686,-0.570008038,0.652272185,0.035412523,0.225540752,-0.308225473,-1.020521291,0.567368268,-0.005431172,0.772140317,1.265108424,-0.555432738,0.035685411,26
2,-1.591640229,2.755887296,-2.325588941,2.761339589,-1.666642001,-0.912357608,0.139350147,0.22410963,0.003273154,-0.381976124,-0.416045241,-0.047340401,0.627882411,0.554641385,0.025763089,1.367793349,0.330133608,75
3,0.218811983,3.468119776,-2.665816298,-0.221566424,-0.430424312,-0.348063146,-0.259106625,0.140605851,0.563682536,-0.797908137,0.306949487,-0.257619487,0.336288734,-0.88173211,0.736723897,-0.32599597,-0.106732359,110
4,-1.210065075,4.670707917,-1.499583932,-1.29972287,2.621330779,-2.180427719,1.508683827,-0.697002711,0.863581159,0.426086622,2.04289451,-0.432173203,-0.638907449,-1.427246233,0.893510672,0.681965191,-0.193153495,60
5,-0.985172409,4.738330871,-1.575295417,-1.531321516,1.341399948,-1.433757229,0.486387012,-0.814820073,0.782899653,0.28034571,2.111640248,-0.476877031,-0.850093294,-1.347206385,0.5019567,0.295672338,-0.470401913,55
6,-0.165899417,0.899969423,1.896648215,-1.170067416,0.928138868,-2.223014392,-1.322674179,0.081839054,0.425498324,-0.350680686,0.356096317,0.821142026,-1.302622982,2.107089433,-0.994475286,0.53388253,-0.482838329,139
7,-0.310874652,0.009244201,2.567040357,0.925770211,-3.464480496,-0.381249426,2.277561043,-0.022418862,-1.167227986,0.151354595,0.389506744,-1.595674649,3.412253529,-0.534373485,-2.920783815,1.925624369,-0.882656488,85
8,-2.054190385,-1.104560795,-0.892825497,0.004428154,1.14943838,-1.261218157,-1.68222796,-1.139242261,0.003681836,0.697470863,0.072466159,0.048224153,-0.106514238,-0.252801085,0.930103388,0.514485919,0.109672051,35
9,-2.068408463,-1.917984169,-0.439054167,-0.185261189,0.466581793,1.711422518,0.189770806,1.755190915,-0.166092786,-0.275490602,0.358814766,0.627887299,0.844404166,0.43127289,-0.669390406,-0.319731563,0.446496987,81
10,-0.175196369,1.218506032,0.739211384,-3.855563423,-1.189543421,-0.954939462,-1.071160657,1.631583692,-2.06861356,1.732097767,-1.704656707,-3.442922252,-2.161928131,0.606096336,0.536991768,-0.110377021,0.347045658,27
11,1.685474706,2.005551447,3.386827801,-0.823024749,-0.981575078,0.599601719,-0.588631018,-0.23039173,-1.092640485,0.281797566,-1.208760662,0.582523668,0.509991974,1.126523522,-0.906158465,0.247367433,-0.005495046,35
12,-1.670417032,0.365765452,1.346036786,-1.389475987,2.190559496,-2.223925564,0.439262067,0.926747854,1.188161744,-0.73887329,0.554865906,0.250354808,0.290693917,-0.281274156,-0.985204954,-0.090349936,-0.442808193,45
13,-0.558414498,0.49489539,1.301113435,-2.317874817,1.799590705,-0.313858593,0.081542351,0.242794659,0.348113423,-0.27747787,0.048723503,0.497720864,-0.304190005,0.434462657,-0.587619926,-0.297644014,0.179614697,80
14,3.472712721,-2.559867287,-1.786715178,0.593248768,0.057760173,0.343231717,0.719578787,-0.205128634,-0.28919874,0.077350925,-0.859551453,0.511993226,0.456279625,-0.194300451,0.746984959,-0.273801901,-0.262412014,179
15,-2.433885068,1.949332918,-2.784610205,1.569130729,2.09725524,-0.414698681,-0.125649417,-0.029380901,0.190317151,-0.255526434,0.527078373,-0.637001083,0.070311287,0.223420946,0.148047692,0.124473512,0.098254276,60
16,-1.206701331,2.176511241,-1.460387346,3.822791274,-0.0947283,0.788854958,-0.2601631,-0.175522977,-0.452085218,0.109277804,-0.2931236,-0.075023253,0.206519223,-0.092823324,-0.013036855,-0.216359994,-0.196238783,40
17,-1.084416447,-0.128735081,1.61176081,0.645135982,0.794185945,-1.610008609,0.080233048,-1.293062305,-0.640716466,0.934980587,-0.084990627,0.361735034,-0.417974036,0.741508899,1.425513229,0.634414936,1.346807452,70
18,-2.638078955,-2.164146223,-0.106856036,0.275903082,0.508139737,0.837884347,-0.379327267,-0.622195498,-0.305414622,-0.476895341,0.385067642,-0.619171144,-0.099849177,0.594277489,0.450838384,-0.347016819,-0.454658569,30
19,-2.219013309,-1.502643386,-0.611880134,-0.702070347,-1.796064214,-0.160415333,1.457434276,-0.336564253,0.206301153,-0.231433165,0.96253544,-0.360449091,-0.842726685,0.910578601,0.091828639,0.119525839,0.335863243,90
20,1.035432727,3.439064353,-2.372820284,-0.878714692,-2.10582225,1.39476403,2.725574509,-0.745567274,-0.82758411,0.14820346,0.381445555,-0.466141284,0.410357713,0.300044427,-0.119640868,1.16155046,-0.015945174,28
21,-2.215419616,2.682082063,-3.001975166,1.873335566,2.283497327,-0.130440509,-0.335246513,-0.906356197,-0.292410012,0.592197569,-0.111456959,0.003557795,-0.049328657,0.026089028,1.024340524,0.976322181,0.304907157,53
22,1.254098087,-0.773447842,-0.615458866,0.24861665,0.878140273,0.368405352,-0.19340568,0.290408936,-0.100341171,0.326247519,-1.058130131,1.541113205,-0.031040969,0.655504928,-0.994066481,0.137457478,0.365281057,98
23,-0.951828791,-0.805193053,-1.115712062,-0.975354893,-0.508759654,0.901409628,0.039930755,-0.039187237,0.09725159,-0.092582066,-1.07253057,0.751552457,-0.006114668,0.123446659,0.85766002,0.23379746,0.14463904,50
25,2.415422617,-1.285544593,-1.140806612,0.242121944,0.88777154,0.417248547,0.054551794,0.187315522,-0.079206427,0.265947966,-0.797585722,0.93232055,0.503086231,-0.483987012,-0.473261763,-0.537880822,0.621113732,30
26,-2.617947251,-1.765392135,-0.344420367,-0.140037235,0.746604454,-0.300852924,-1.074675435,-0.081214797,0.307623687,-0.832543025,1.008731552,-0.559448949,0.151085886,0.122507007,-0.349040717,-0.250578027,-1.335317945,169
27,-1.963480983,-0.42520792,0.260163926,-0.149079803,0.207169399,0.771078784,-0.751366083,-0.156170836,-0.128401938,0.057557471,-0.848990564,0.337233272,0.320848187,0.112163177,-0.189969988,-0.211232491,-0.133040624,45
28,-1.295479397,2.622411904,-2.423939151,2.717086274,-2.008734531,-0.340348406,2.193343539,-0.484337447,-0.402250717,-0.232226564,1.380179901,-2.033616079,1.640621599,-0.674784289,-0.404483912,1.315910175,-0.806931912,75
29,3.33335762,-1.011330431,0.455481185,-0.081219842,2.162652662,-0.3701864,2.707172549,0.97120752,-0.281145722,-0.198626164,-1.360112612,1.132857493,0.853248934,0.842093651,-0.379256085,-0.821325751,0.503445696,125
30,-0.856194781,-0.971264795,1.008096755,-0.432745408,1.300391877,1.25225276,-1.206847739,-0.347869165,-0.47102298,-0.507021128,0.786047164,-0.680179959,0.25647233,0.104527051,-0.733019351,-1.283736856,0.143814425,50
31,-1.510861935,0.047813849,1.875712836,-1.326019511,1.865618898,0.73583391,-0.129970556,-0.521632159,-0.470050305,-0.252358405,0.188672009,0.06041342,-0.420344968,1.065329783,-0.05433459,-0.384372353,-0.650156436,70
32,1.223923561,0.875183528,0.014437018,-1.855077682,-0.995281647,-1.322446943,0.019223213,-0.280011231,0.120388067,0.087679176,-0.758930288,1.229605149,-1.322318929,1.82468687,1.263832383,0.184076159,1.112149663,46
33,0.423925716,-1.506122385,-1.269575762,0.868862101,-0.175972654,-1.310799141,-0.56952897,-0.249997399,0.205116,-0.403302503,0.119089337,0.041484203,-1.148335893,2.021026595,0.666238202,0.335263179,0.836638988,40
34,-2.054402717,-1.21096735,0.537588692,1.266009125,1.397197821,0.727298873,-0.808682769,-1.24018766,-0.570824353,1.121539908,1.617779134,-0.304497284,-0.156634433,-0.975064349,-1.570458875,-0.831393973,0.155810786,45
35,-0.807175057,-1.177847817,0.358270036,-0.023220685,0.156618016,0.566254596,-0.915556124,0.720204573,-0.582346352,0.939806758,-0.590512714,1.473237704,0.824181167,0.276001446,-0.064968985,1.176133659,0.14929315,60
36,-0.413957004,0.085856564,1.491732809,0.107760104,0.242648182,-0.319863601,-0.851322833,-0.959073063,-0.673338986,0.974348941,-0.567465067,0.40875702,0.844850499,-0.761853142,0.489230632,-0.368687605,0.500135807,45
37,-1.027968084,-1.473829352,-0.500981026,-0.08233192,0.032386408,0.367499958,-1.589827647,-0.82246724,-0.516707004,0.71933049,-0.527858543,0.249319858,0.990118294,-1.003938458,-0.115646598,-0.134758083,0.952406019,80
38,-2.445640261,-1.733687969,0.229906682,0.794893304,-0.069418359,0.9434167,-0.184893777,0.162845407,-0.26734061,-0.252353937,-0.457600376,0.15137022,0.302641896,0.55024881,-0.158342298,-0.573046057,-0.405244406,25
39,-0.437007446,0.473087428,2.563129783,2.26801925,0.221820521,-1.233912067,1.11144402,0.147882509,-0.12070803,0.303804366,-0.911087596,0.544379283,0.065602183,0.661950885,1.127659829,0.142936306,1.506170078,25
40,0.008926591,1.280588489,4.651391174,4.803919756,-3.972251364,-2.683130612,-0.747253867,0.63712426,0.093623012,-0.322080094,0.498480972,-0.21483472,-0.507576782,1.025859465,0.526047495,-0.702749715,3.798403923,100
41,-0.18470954,0.686435589,0.74521698,-1.687468531,1.959257368,-0.403801074,0.801411027,0.018527114,0.079098345,0.58359055,-1.314839925,1.222715888,0.478476298,-0.485946599,0.776938913,0.59614716,1.134255884,60
42,0.074028885,0.434882049,0.796993408,-1.132021037,2.068539632,-0.453788578,0.96019304,0.018005933,0.009144147,0.614407843,-1.407428656,0.978073967,0.739049073,-0.687089754,0.885629868,0.562009761,0.75672657,40
43,0.804660587,3.823765156,-1.487603979,-0.629694879,-1.124249848,1.088316933,0.560340412,-0.155699353,-0.506021315,-0.244826405,-0.774091826,0.178253107,0.577598888,-0.50897728,0.968865351,-0.947094477,1.236771353,55
44,-1.480044342,-2.877520894,-1.821543534,-0.301687872,-1.04935404,1.463988893,1.75117057,-0.338589353,0.277402024,-0.253824284,0.643210016,-0.206661648,-0.449780431,-0.762868782,0.092894092,-0.040658898,0.376353671,65
45,-0.53477164,-1.668086421,1.723541153,2.600253463,-1.246234521,-0.078619545,0.915987463,-1.125420401,-0.476821505,0.310798476,2.278845868,-1.409355572,-0.702447144,-0.413787753,0.796511814,-0.98717182,0.937113156,72
46,-2.247854195,-2.296229271,-1.322367312,-0.051759189,-0.117970999,0.720722249,0.023460573,-0.461551397,-0.133855531,-0.276464559,-0.403231843,-0.383229164,0.552248774,-0.279456114,0.830022772,-0.723169709,0.069601315,90
47,-0.102587191,2.008667829,4.683347288,0.144815891,-3.259154661,0.57286329,1.477755672,-0.388029562,-0.797449007,0.218465842,0.860605447,-1.124173569,0.191029223,0.063458932,-0.712166012,0.288188938,1.323605702,69
48,-0.089666835,0.640525379,1.756725611,-1.857379434,-2.307253274,0.820350529,1.759452772,-1.462261089,-1.081398396,0.21965206,1.58616387,-1.455426471,0.249087552,0.262084625,0.408474639,-0.02113677,0.160123826,65
49,-1.518666427,-1.292616494,-0.094029702,1.444903148,-0.04194566,0.625825054,-0.20537676,0.186299436,-0.227493191,0.137044057,-1.195887312,0.683410234,0.244427195,0.605096123,-0.156749709,0.16968095,-0.689447686,139
50,-1.114050979,0.043553577,0.482977864,-3.271531652,-1.415544632,0.333579278,0.786609173,-0.1324821,0.109692275,-1.044361082,0.157350683,-0.509055879,-0.17908604,0.53522241,1.636556949,-1.729419699,-0.21761253,95
51,-1.324419423,-1.968792445,-0.150802818,1.470529922,-1.537053918,0.464165941,1.075262155,-0.718873576,0.185881968,0.378045219,0.802731957,0.138376603,-1.196189014,-0.394754078,0.107021535,0.584123781,0.700144192,62
