property_id,zipcode_freq,property_max_guests,property_bathrooms,property_bedrooms,property_beds,host_id_freq,host_for_x_months,host_response_rate,host_nr_listings,booking_price_covers,booking_min_nights,booking_max_nights,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,booking_cancel_policy,reviews_num,reviews_rating,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,target,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Townhouse,property_type_infrequent_sklearn,property_room_type_Private room,property_room_type_Shared room,brussels,antwerp,host_near_property,extra_score,host_verified_score,amenities_score,last_updated_in_months
1,0.0560431100846805,1,1.0,1.0,1.0,0.0001539645881447,43,100.0,1.0,1,1,1125,7,37,67,96,4,23,97.0,10.0,9.0,10.0,10.0,9.0,10.0,1.31,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,12.0,0
2,0.0118552732871439,4,1.5,2.0,2.0,0.0001539645881447,7,75.0,1.0,1,2,15,0,0,25,25,4,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1.0,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,16.0,1
3,0.0391070053887605,2,1.0,1.0,1.0,0.0001539645881447,7,100.0,1.0,1,2,1125,20,34,55,330,4,4,93.0,10.0,10.0,9.0,9.0,9.0,10.0,0.75,110,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,7.0,0
4,0.0700538876058506,2,1.0,1.0,1.0,0.0003079291762894,42,100.0,2.0,1,1,1125,21,46,64,339,4,109,98.0,10.0,10.0,10.0,10.0,10.0,10.0,6.9,60,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,11.0,1
5,0.0700538876058506,2,1.0,1.0,1.0,0.0003079291762894,42,100.0,2.0,1,1,1125,23,50,80,355,4,61,97.0,10.0,10.0,10.0,10.0,10.0,10.0,4.16,55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,12.0,0
6,0.0988452655889145,2,2.0,1.0,1.0,0.0001539645881447,42,100.0,1.0,2,1,5,10,40,70,345,3,7,94.0,10.0,8.0,10.0,10.0,9.0,10.0,3.56,139,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,31.0,0
7,0.0363356428021555,6,1.0,3.0,3.0,0.0001539645881447,42,0.0,1.0,3,3,1125,0,7,37,312,2,5,92.0,10.0,9.0,10.0,10.0,10.0,10.0,0.13,85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,11.0,3
8,0.0560431100846805,2,1.0,1.0,1.0,0.0001539645881447,7,100.0,1.0,1,1,7,0,0,25,25,4,14,97.0,10.0,10.0,10.0,10.0,9.0,10.0,2.58,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,6.0,11.0,0
9,0.2246343341031562,2,1.0,0.0,1.0,0.0001539645881447,42,100.0,2.0,1,30,1125,0,0,0,127,2,4,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.19,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,13.0,1
10,0.0135488837567359,2,1.5,1.0,1.0,0.0003079291762894,42,70.0,2.0,1,1,1125,30,60,90,365,4,2,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0.91,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,15.0,4
