property_id,property_name,property_summary,property_space,property_desc,property_neighborhood,property_notes,property_transit,property_access,property_interaction,property_rules,property_zipcode,property_lat,property_lon,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,property_beds,property_bed_type,property_amenities,property_scraped_at,property_last_updated,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_nr_listings,host_nr_listings_total,host_verified,booking_price_covers,booking_min_nights,booking_max_nights,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,booking_cancel_policy,reviews_num,reviews_first,reviews_last,reviews_rating,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,extra,target
3,comfortable apartment in friendly neighborhood,"Nice and cozy apartment for couples who like to do a city trip. Perfect situated, close to the highway, and easy to reach by public transport. Restaurants and bars on walking distance. Groenplaats easy to reach by tram or bus in 5-10 minutes. Supermarket is next door for your daily grocery. House setting is like a hotel with the addition luxury of kitchen and a separate bedroom.","Nice proper and clean apartment. No personal stuff as you normally will discover when you book a AIRBNB, More space, comfort and additional value compare to a hotelroom.","Nice and cozy apartment for couples who like to do a city trip. Perfect situated, close to the highway, and easy to reach by public transport. Restaurants and bars on walking distance. Groenplaats easy to reach by tram or bus in 5-10 minutes. Supermarket is next door for your daily grocery. House setting is like a hotel with the addition luxury of kitchen and a separate bedroom. Nice proper and clean apartment. No personal stuff as you normally will discover when you book a AIRBNB, More space, comfort and additional value compare to a hotelroom. As a good host I trust my guest. No secrets and you can use all facilities. Public transport is next to the apartment and will bring you to the centre of the city in about 5-10 minutes",Op 5 minuten lopen zijn er 2 gezellig stadparken. Brand en Middenheim. Zeker ook leuk om te gaan joggen met leuke routes van 3 en 5 km. De AH supermarkt is mijn buurman en open tot 20:00uur. Bakkertjes en koffie barretjes op loop afstand.,Public transport is next to the apartment and will bring you to the centre of the city in about 5-10 minutes,Fiets verhuur voor de deur. (dag/weekkaart) via Velo Antwerpen. Bus voor de deur opstappen Tram op 3 minuten lopen. Geweldige uitval basis voor een city trip,As a good host I trust my guest. No secrets and you can use all facilities.,"Ik ben altijd bereikbaar voor vragen, maar ben niet altijd in de mogelijk om langs te komen.",,2018,51.19250138372838,4.409350870046527,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"Wireless Internet, Kitchen, Free parking on premises, Heating, Family/kid friendly, Essentials, translation missing: en.hosting_amenity_49",2017-05-12,2 days ago,100228761,2016-10-18,"Antwerp, Flanders, Belgium","ik ben een expat die alleen mid weeks in Antwerpen verblijft. Daarnaast ben ik vaak zakelijk op reis. Om andere mensen ook van de gezellige stad Antwerpen te laten genieten stel ik mijn appartement beschikbaar voor verhuur. Ik verblijf slechts 160 dagen per jaar in Antwerpen en daardoor staat mijn appartement vaak ""leeg"".",within an hour,100.0,1.0,1.0,"email, phone, reviews",1,2,1125,20,34,55,330,flexible,4,2016-12-04,2017-05-07,93.0,10.0,10.0,9.0,9.0,9.0,10.0,0.75,"Host Has Profile Pic, Is Location Exact, Instant Bookable",110
12,Large bright room in the center of Brussels,"Very well located near : the European Parliament, Palais d'Egmont, the Belgian Royal Palace, Justice Palace, The Grand Place, The Manneken Pis, Marolles Flea Market on Place du Jeu de Balle, etc. You will enjoy your stay for the cosy atmosphere and the warm hospitality as well as for the spacious and  the typical brussels maison de maître.","Haussmannien appartement :very spacious, wood floors, high ceilings, warm, bright and welcoming at the same time.","Very well located near : the European Parliament, Palais d'Egmont, the Belgian Royal Palace, Justice Palace, The Grand Place, The Manneken Pis, Marolles Flea Market on Place du Jeu de Balle, etc. You will enjoy your stay for the cosy atmosphere and the warm hospitality as well as for the spacious and  the typical brussels maison de maître. Haussmannien appartement :very spacious, wood floors, high ceilings, warm, bright and welcoming at the same time.","La Porte de Namur à deux pas de chez moi est un quartier vivant et bigarré, vous y trouverez commerces, restaurants, cafés, et une ambiance typiquement bruxelloise.",,"Métro à deux pas, bus et trams permettant d'aller partout à Bruxelles.","Vaste hall d'entrée, grande chambre, salle-de-bain avec baignoire/douche, terrasse donnant sur les jardins.","Je suis disponible pour vous indiquer les bons restos, cafés, commerces et lieux à visiter. Je parle français, anglais, espagnol.","Pas de repas dans la chambre (pour vous assurer un espace propre et hygiénique). Le plus grand calme est demandé après 22h (afin d'assurer votre repos). Check in flexible : selon Airbnb, signifie que "" les voyageurs s'arrangent avec l'hôte pour organiser un check-in qui convient aux deux parties."" Pas de visiteur",1050,50.837508776026255,4.359670122204624,Guesthouse,Private room,2,1.0,1.0,2.0,Real Bed,"Internet, Wireless Internet, Heating, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-08,today,100363969,2016-10-19,"Brussels, Brussels, Belgium",,within an hour,100.0,2.0,2.0,"email, phone, reviews",1,1,1125,4,26,46,321,strict,42,2016-10-23,2017-05-06,100.0,10.0,10.0,10.0,10.0,10.0,10.0,6.33,"Host Is Superhost, Host Has Profile Pic, Is Location Exact, Instant Bookable",45
26,Center - Sunny penthouse w/ terrace,Brand new furnished penthouse on the 8th floor in a beautiful Art Deco building in the trendy vibrant Brussels district Dansaert / Ste. Catherine. Modern furnishings. South facing terrace with views of 300° over Brussels.,"A very nice, brandnew studio. Fully Furnished, all comfort. Great terrace, overlooking Brussels city center.","Brand new furnished penthouse on the 8th floor in a beautiful Art Deco building in the trendy vibrant Brussels district Dansaert / Ste. Catherine. Modern furnishings. South facing terrace with views of 300° over Brussels. A very nice, brandnew studio. Fully Furnished, all comfort. Great terrace, overlooking Brussels city center. Penthouse loft style. All rooms available. Some friendly person will be there to inform you on all necessary things. The neighborhood is the vibrant Dansaert district. Very convenient public transport connections. Plenty of trendy fashion shops, libraries, restaurants, cinema's and theatres. Opera close by.","The neighborhood is the vibrant Dansaert district. Very convenient public transport connections. Plenty of trendy fashion shops, libraries, restaurants, cinema's and theatres. Opera close by.",,,Penthouse loft style. All rooms available.,Some friendly person will be there to inform you on all necessary things.,No smoking inside. No problem on terrace outside. Please check house rules on sorting trash and deposit it in the correct containers on inner yard of the building.,1000,50.853565424072215,4.346584571018742,Loft,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"Wireless Internet, Kitchen, Free parking on premises, Elevator in building, Buzzer/wireless intercom, Heating, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-09,5 weeks ago,10052630,2016-02-02,"Brussels, Brussels, Belgium",I love inspiring people and inspiring places. I like traveling. I am an artist working in the overlapping domain of  art and science. I am a beekeeper and an herbalist.,within a few hours,100.0,1.0,1.0,"email, phone, reviews, jumio, work_email",1,5,1125,0,0,9,9,flexible,5,2016-03-10,2016-06-17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.35,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",169
52,Loft Apartment near Tour & Taxis,"The loft (155m2) is a converted old warehouse (built in1924) located in the canal zone, near the monumental Tour & Taxis business center and exposition complex.","It's an open space with white and exposed brick walls, concrete and bamboo floors, fully equipped kitchen, bathroom with shower and bathtub, furniture, full size bed and a terrace. There is a wireless internet connection, a docking station (iPod, tablets, smartphone, etc) and a radio at your disposal.","The loft (155m2) is a converted old warehouse (built in1924) located in the canal zone, near the monumental Tour & Taxis business center and exposition complex.  It's an open space with white and exposed brick walls, concrete and bamboo floors, fully equipped kitchen, bathroom with shower and bathtub, furniture, full size bed and a terrace. There is a wireless internet connection, a docking station (iPod, tablets, smartphone, etc) and a radio at your disposal.  -Nearest metro station: 5 minutes walk to ‘Pannenhuis’ with direct connection to the main railway station ‘Brussels - Midi’ (Eurostar, Thalys, ICE, plus domestic rail connections) -Nearest bus stop:  just around the corner. The bus will take you to the heart of the city in 15 minutes. -Bicycle: there are a lot of pick-up - drop-off public bicycle stations in our neighborhood. -A 30 minutes walk gets you in the trendy Rue Dansaert (shopping, nice bars and restaurants) I’d love to welcome you with some regional beers. You’ll find",,"I’d love to welcome you with some regional beers. You’ll find some fresh fruit, coffee or tea and other breakfast items in the fridge.  Of course there are local grocery stores where you find fresh bread and everything you need to cook your own meal.  I prepared a list of useful addresses and telephone numbers (restaurants, sushi delivery, bakery, taxi, etc) in the neighborhood. There's a free parking on request.  It was a lot fun designing and renovating the space myself. I hope you like it too. Looking forward to meeting you.","-Nearest metro station: 5 minutes walk to ‘Pannenhuis’ with direct connection to the main railway station ‘Brussels - Midi’ (Eurostar, Thalys, ICE, plus domestic rail connections) -Nearest bus stop:  just around the corner. The bus will take you to the heart of the city in 15 minutes. -Bicycle: there are a lot of pick-up - drop-off public bicycle stations in our neighborhood. -A 30 minutes walk gets you in the trendy Rue Dansaert (shopping, nice bars and restaurants)",,,"No smoking inside please, feel free to use the terrace. Please take off  outdoor shoes before going on the bathroom platform. Please treat the space with care.  Thank you for ventilating the space daily.  The place is not suitable for parties.",1020,50.872026033933714,4.347947391173274,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"Internet, Wireless Internet, Wheelchair accessible, Kitchen, Elevator in building, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",2017-05-08,2 months ago,101192,2010-03-30,"Brussels, Brussels, Belgium",I'm an architect. I live and work in Brussels since 2003.  I like the urban complexity of city's and I'm looking for challenges.,within a few hours,100.0,1.0,1.0,"email, phone, facebook, reviews, jumio, work_email",2,3,30,23,53,83,358,moderate,87,2013-04-26,2017-04-28,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.77,"Host Has Profile Pic, Host Identity Verified, Is Location Exact",45
75,"City Deluxe Suite, Cozy with Schelde View","This new deluxe suite (45m2) on the 3th floor offers unique views over the Schelde river and his sunset. Layout : entrance hall with fitted wardrobe, office space,  living room with sofa and dining table, fully equipped kitchen.  Separate bedroom with queen-size box spring bed, luxurious bathroom with shower and toilet. Facilities : Free Wi-Fi, flat screen television, Nespresso coffeemaker, hairdryer, Rituals products. Access by elevator and stairs.",,"This new deluxe suite (45m2) on the 3th floor offers unique views over the Schelde river and his sunset. Layout : entrance hall with fitted wardrobe, office space,  living room with sofa and dining table, fully equipped kitchen.  Separate bedroom with queen-size box spring bed, luxurious bathroom with shower and toilet. Facilities : Free Wi-Fi, flat screen television, Nespresso coffeemaker, hairdryer, Rituals products. Access by elevator and stairs. You can check in between 3pm and 5pm, after 5pm I will not be present. If you know you will arrive after 5pm please inform us so we can provide you the information to enter the building.",,,,,"You can check in between 3pm and 5pm, after 5pm I will not be present. If you know you will arrive after 5pm please inform us so we can provide you the information to enter the building.",- Onze inchecktijd is tussen 15u en 17u. Wij vernemen graag van u als u later gaat arriveren. Dan bezorgen wij u de informatie waarmee u toegang krijgt tot het pand en uw kamer.,2000,51.21684174809053,4.393542596511374,Condominium,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"TV, Wireless Internet, Air conditioning, Kitchen, Elevator in building, Heating, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-12,today,101924239,2016-10-31,"Antwerp, Flanders, Belgium",,within an hour,86.0,5.0,5.0,"email, phone, reviews, work_email",1,1,31,10,25,41,202,flexible,0,,,,,,,,,,,"Host Has Profile Pic, Is Location Exact, Instant Bookable",85
87,"Lucy in the Sky, Diamond room","B&B in the center of Antwerp, a newly decorated room with king size Auping bed (180x210), private bathroom with shower + toilet and your own terrace in the back. Nespresso and a B&O record player at your service.","A brand new B&B located in the old city center of Antwerp, with only 2 private bedrooms, situated on the first floor. Part of a recent renovated house by De Vylder Vinck Taillieu architects. At walking distance of the ""Grote Markt"", the ""Schelde"" and the ""MAS, het Eilandje"".","B&B in the center of Antwerp, a newly decorated room with king size Auping bed (180x210), private bathroom with shower + toilet and your own terrace in the back. Nespresso and a B&O record player at your service. A brand new B&B located in the old city center of Antwerp, with only 2 private bedrooms, situated on the first floor. Part of a recent renovated house by De Vylder Vinck Taillieu architects. At walking distance of the ""Grote Markt"", the ""Schelde"" and the ""MAS, het Eilandje"". Private bedroom with large Auping bed (1m80 by 2m10). Private bathroom and terrace. Nespresso & record player in your room. Private entrance with code. Breakfast is served at a diner located only a few steps away. Guests can enjoy as much privacy as they wish, but we are there to guide or inform them, digitally or live, we live upstairs at the same premises. The B&B is situated right in between the old city center and the newly developed ""Eilandje"" with the fancy new MAS museum and the Red Star Line museum","The B&B is situated right in between the old city center and the newly developed ""Eilandje"" with the fancy new MAS museum and the Red Star Line museum, plenty of bars and eateries and the boats of the yacht harbour. The river is very closeby. The neighbourhood is very lively with its hip coffee bars, a few cool dancings and the traditional night life (the red light district). The Academy of Fine Arts is around the corner and more art galleries have recently opened.","Since we are located right in the city center, the streets can get lively late in the evenings during the weekend. We provide ear plugs for a good nights' sleep. The neighbourhood is very gayfriendly.","There is a tram a few steps away. With a creditcard it is possible to rent out one of the citybikes in an outside stall around the corner. While bringing luggage up in the room, you can park out front for a while without disturbing traffic. Taxis are available nearby. (URL HIDDEN)",Private bedroom with large Auping bed (1m80 by 2m10). Private bathroom and terrace. Nespresso & record player in your room. Private entrance with code. Breakfast is served at a diner located only a few steps away.,"Guests can enjoy as much privacy as they wish, but we are there to guide or inform them, digitally or live, we live upstairs at the same premises.","""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of the darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy My brothers. And you will know I am the Lord when I lay My vengeance upon you."" Ezekiel 25:17.",2000,51.22341394183822,4.403878665516937,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"Wireless Internet, Smoking allowed, Breakfast, Buzzer/wireless intercom, Heating, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self Check-In, Keypad",2017-05-12,today,10213435,2013-11-23,"Antwerp, Flanders, Belgium",,within an hour,100.0,2.0,2.0,"email, phone, reviews, jumio, work_email",1,2,1125,7,9,22,222,moderate,29,2015-04-26,2016-10-29,96.0,10.0,10.0,10.0,10.0,9.0,9.0,1.16,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",52
88,"Lucy in the Sky, Lucy's room","B&B in the center of Antwerp, a newly decorated room with king size Auping bed (180x210), private bathroom with shower + toilet and your own terrace in the back. Nespresso and a vintage B&O record player at your service.","A brand new B&B located in the old city center of Antwerp, with only 2 private bedrooms, situated on the first floor. Part of a recent renovated house by De Vylder Vinck Taillieu architects. At walking distance of the ""Grote Markt"", the ""Schelde"" and the ""MAS, het Eilandje"".","B&B in the center of Antwerp, a newly decorated room with king size Auping bed (180x210), private bathroom with shower + toilet and your own terrace in the back. Nespresso and a vintage B&O record player at your service. A brand new B&B located in the old city center of Antwerp, with only 2 private bedrooms, situated on the first floor. Part of a recent renovated house by De Vylder Vinck Taillieu architects. At walking distance of the ""Grote Markt"", the ""Schelde"" and the ""MAS, het Eilandje"". Private bedroom with large Auping bed (1m80 by 2m10). Private bathroom and terrace. Nespresso & record player in your room. Private entrance with code. A small breakfast is served at a coffee bar located only a few steps away. Guests can enjoy as much privacy as they wish, but we available for information and request, digitally or live- we live upstairs at the same premises. The B&B is situated right in between the old city center and the newly developed ""Eilandje"" with the fancy new MAS museum and","The B&B is situated right in between the old city center and the newly developed ""Eilandje"" with the fancy new MAS museum and the Red Star Line museum, plenty of bars and eateries and the boats of the yacht harbour. The river is very closeby. The neighbourhood is very lively with its hip coffee bars, a few cool dancings and the traditional night life (the red light district). The Academy of Fine Arts is around the corner and more art galleries have recently opened.","Since we are located right in the city center, the streets can get lively late in the evenings during the weekend. We provide ear plugs for a good nights' sleep. The neighbourhood is very gayfriendly.","There is a tram a few steps away. With a creditcard it is possible to rent out one of the citybikes in an outside stall around the corner. While bringing luggage up in the room, you can park out front for a while without disturbing traffic. Taxis are available nearby. (URL HIDDEN)",Private bedroom with large Auping bed (1m80 by 2m10). Private bathroom and terrace. Nespresso & record player in your room. Private entrance with code. A small breakfast is served at a coffee bar located only a few steps away.,"Guests can enjoy as much privacy as they wish, but we available for information and request, digitally or live- we live upstairs at the same premises.","""The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men. Blessed is he who, in the name of charity and good will, shepherds the weak through the valley of the darkness, for he is truly his brother's keeper and the finder of lost children. And I will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy My brothers. And you will know I am the Lord when I lay My vengeance upon you."" Ezekiel 25:17.",2000,51.22469593238126,4.403670376241895,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"Wireless Internet, Breakfast, Buzzer/wireless intercom, Heating, Family/kid friendly, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-12,today,10213435,2013-11-23,"Antwerp, Flanders, Belgium",,within an hour,100.0,2.0,2.0,"email, phone, reviews, jumio, work_email",1,2,1125,11,15,30,237,moderate,48,2015-05-10,2017-04-23,96.0,9.0,10.0,10.0,10.0,9.0,10.0,1.96,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",34
99,Single bed in cosy room close to city centre,"This listing is for a shared room thus only available to a female guest, however the whole studio can be booked for up to two people (Male or Female) if you view my other listing. Good for solo adventurers. Easy to get to, just a 5 minute walk from Hankar metro station gives good access to the rest of the city.","位于很好的区,靠近大学VUB和ULB,离地铁站近,到市中心乘坐地铁只要二十分钟。 Safe area, near metro station and Universities.","This listing is for a shared room thus only available to a female guest, however the whole studio can be booked for up to two people (Male or Female) if you view my other listing. Good for solo adventurers. Easy to get to, just a 5 minute walk from Hankar metro station gives good access to the rest of the city. A pay as you use laundry room is available in the basemen of the building.","Safe, convenient",,Just five minutes walk to metro station,A pay as you use laundry room is available in the basemen of the building.,,,1050,50.81933318473146,4.401912368921906,Other,Shared room,1,1.0,1.0,2.0,Real Bed,"Wireless Internet, Kitchen, Free parking on premises, Elevator in building, Heating, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-09,today,102601088,2016-11-05,"Brussels, Brussels, Belgium","My name is Jia, I am from Sichuan in China, but now living in Brussels, Belgium.  I enjoy sharing my culture with others and would be happy to spend time with the guest over a cup of Chinese tea whilst helping them plan and make the most of their stay in Brussels.  I love photography and travelling and I am currently studying master in Brussels.  My personality is very happy and cheerful, helpful and quiet when necessary.",within a day,100.0,2.0,2.0,"email, phone, reviews",1,1,1125,14,43,73,163,flexible,3,2016-12-03,2017-02-09,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0.57,"Host Has Profile Pic, Is Location Exact",139
100,Whole studio close to city centre.,"This studio is located close to Hankar metro station. Ideally placed for quick access all around the city. The room contains one single bed, and a mattress that can be used on the floor for an extra guest.","I have to be clear that my studio is just 20 square meters with kitchen and bathroom, don't expect it's (URL HIDDEN) single bed and one mattress if it's two people ...Just read all my regulation before u book it , thanks !","This studio is located close to Hankar metro station. Ideally placed for quick access all around the city. The room contains one single bed, and a mattress that can be used on the floor for an extra guest. The laundry room is located in the basement of the building and is a pay per use system.",,The laundry room is located in the basement of the building and is a pay per use system.,,,,"No illegal activity ! Be tidy ... Leave the room as tidy as u entered. Mean and dirty people are not welcome in my studio. People with bad manners don't book my studio ! Two people come must pay 5 euro cleaning fee, thank you for understanding.",1050,50.81971118388835,4.401336142120957,Other,Entire home/apt,2,1.0,0.0,2.0,Real Bed,"Wireless Internet, Kitchen, Free parking on premises, Breakfast, Elevator in building, Heating, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",2017-05-08,today,102601088,2016-11-05,"Brussels, Brussels, Belgium","My name is Jia, I am from Sichuan in China, but now living in Brussels, Belgium.  I enjoy sharing my culture with others and would be happy to spend time with the guest over a cup of Chinese tea whilst helping them plan and make the most of their stay in Brussels.  I love photography and travelling and I am currently studying master in Brussels.  My personality is very happy and cheerful, helpful and quiet when necessary.",within a day,100.0,2.0,2.0,"email, phone, reviews",1,1,1125,16,46,75,76,flexible,13,2016-11-30,2017-04-17,88.0,10.0,8.0,10.0,10.0,9.0,9.0,2.42,"Host Has Profile Pic, Is Location Exact",85
126,"Chambre spacieuse et petit déjeuner ""maison""","Vous apprécierez notre maison pour son confort, son emplacement, son volume, notre petit déjeuner ""maison"" et…notre accueil.  Notre logement est proche de la place Sainte Catherine.  Il est parfait pour les couples, les voyageurs en solo et les voyageurs d'affaires.","Cette chambre (25m2) est équipée d’un confortable lit double (180×200) ou de 2 lits séparés (90×200).  Elle est adjacente à une grande salle de douche et toilette privative. A disposition: peignoirs, draps 100% coton, essuies de bain, articles de toilette, thé/café, wifi,…  Le petit déjeuner est inclus ainsi que l’usage de la salle fitness, du sauna et de la terrasse arborée. Un lit «bébé» est disponible gratuitement. Notre maison date de 1827, nous l'avons complètement rénovée ces dernières années, nous aimons y exposer de jeunes artistes contemporains.","Vous apprécierez notre maison pour son confort, son emplacement, son volume, notre petit déjeuner ""maison"" et…notre accueil.  Notre logement est proche de la place Sainte Catherine.  Il est parfait pour les couples, les voyageurs en solo et les voyageurs d'affaires. Cette chambre (25m2) est équipée d’un confortable lit double (180×200) ou de 2 lits séparés (90×200).  Elle est adjacente à une grande salle de douche et toilette privative. A disposition: peignoirs, draps 100% coton, essuies de bain, articles de toilette, thé/café, wifi,…  Le petit déjeuner est inclus ainsi que l’usage de la salle fitness, du sauna et de la terrasse arborée. Un lit «bébé» est disponible gratuitement. Notre maison date de 1827, nous l'avons complètement rénovée ces dernières années, nous aimons y exposer de jeunes artistes contemporains. La chambre, le sauna & la salle fitness, la terrasse arborée,... Nous nous ferons un plaisir de partager avec vous nos adresses préférées de ce quartier et de cette ville,","Notre maison se situe à quelques mètres de la place Sainte Catherine et de ses terrasses arborées, du «Marché aux poissons» et ses excellents restaurants ainsi que de la rue Antoine Dansaert et ses boutiques branchées. La Grande Place est à moins de 10 minutes à pied tout comme les principales attractions touristiques du centre historique de la ville.",,La station de métro «St-Catherine» est à 200 mètres de la maison. Deux garages sont disponibles dans la maison même sur réservation (25€/jour).,"La chambre, le sauna & la salle fitness, la terrasse arborée,...","Nous nous ferons un plaisir de partager avec vous nos adresses préférées de ce quartier et de cette ville, secrète et charmante, que nous adorons ! Nous avons imaginé plusieurs parcours thématiques dans la ville que nous vous suggérerons et que nous pourrons personnalisés selon vos envies.",Arrivée avant 20 heures.,1000,50.85474559700872,4.347339478285643,Guesthouse,Private room,3,1.0,1.0,2.0,Real Bed,"Wireless Internet, Gym, Breakfast, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace",2017-05-09,today,103307201,2016-11-11,"Brussels, Brussels, Belgium",,within an hour,100.0,5.0,5.0,"email, phone, google, reviews, jumio, government_id",2,2,1125,2,17,29,94,moderate,1,2016-12-22,2016-12-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.22,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",88
